Date,Analysis,Identifier,Amount,Line,Peak Nr,Ampl  28,d15N,Amt% N,Amt% C,Ampl  44,d13C,Notes
12/03/13,29758,J24C1,1,8,3,,,,2.2,121,-26.5,No d15N peak
12/03/13,29768,J24C10,1,18,3,131,-4.9,0.6,4.3,243,-28.5,
12/03/13,29769,J24C11,1,19,3,52,-6.4,0.2,2.5,144,-27.2,
12/03/13,29770,J24C12,1,20,3,93,-5.4,0.4,3.6,203,-28.4,
12/03/13,29771,J24C13,1,21,3,76,-3.9,0.3,2.9,162,-26.9,
12/03/13,29772,J24C14,1,22,3,79,-11.4,0.3,3.3,185,-25.8,
12/03/13,29773,J24C15,1,23,3,80,-17.0,0.3,3.4,192,-26.7,
12/03/13,29774,J24C16,1,24,3,112,-8.8,0.5,4.0,229,-28.2,
12/03/13,29759,J24C2,1,9,3,80,-1.3,0.3,3.3,186,-26.9,
12/03/13,29760,J24C3,1,10,3,84,-3.7,0.4,4.0,222,-27.3,
12/03/13,29757,J24C4,1,7,3,62,-8.6,0.3,2.8,158,-26.1,
12/03/13,29761,J24C5,1,11,3,70,-2.1,0.3,2.8,155,-26.8,
12/03/13,29762,J24C6,1,12,3,108,-5.4,0.5,3.8,203,-29.2,
12/03/13,29763,J24C7,1,13,3,80,-3.5,0.3,3.4,189,-26.6,
12/03/13,29764,J24C8,1,14,3,97,-13.5,0.4,3.5,188,-27.8,
12/03/13,29767,J24C9,1,17,3,72,-0.5,0.3,3.0,171,-26.8,
12/03/13,29777,J26C1,1,27,3,64,-1.3,0.3,2.2,125,-26.3,
12/03/13,29799,J26C10,1,38,3,110,-5.2,0.5,7.1,389,-30.1,
12/03/13,29800,J26C11,1,39,3,58,-3.3,0.2,3.3,188,-26.7,
12/03/13,29801,J26C12,1,40,3,65,-1.4,0.3,3.5,193,-27.0,
12/03/13,29802,J26C13,1,41,3,53,0.8,0.2,4.0,221,-25.7,
12/03/13,29803,J26C14,1,42,3,51,-21.4,0.2,2.9,165,-25.8,
12/03/13,29804,J26C15,1,43,3,93,-2.8,0.4,4.4,249,-29.0,
12/03/13,29805,J26C16,1,44,3,123,-8.0,0.5,4.9,270,-30.0,
12/03/13,29778,J26C2,1,28,3,76,-1.9,0.3,2.6,149,-27.4,
12/03/13,29779,J26C3,1,29,3,70,-0.2,0.3,3.5,199,-27.4,
12/03/13,29780,J26C4,1,30,3,134,-5.3,0.6,5.1,287,-30.6,
12/03/13,29781,J26C5,1,31,3,,,,2.7,155,-26.5,No d15N peak
