Date,Day,core,AmtN,AmtN,AmtN,AmtN,‘m C/30ml,‘m C/30ml,‘m C/30ml,‘m C/30ml,Avg,Std,minus STD,plus STD
7/24/2013,24,Upper,,0.3,0.4,0.3,,0.000356972,0.000475963,0.000356972,0.000396636,6.86995E-05,0.000328,0.000465
7/26/2013,26,Upper,0.3,,0.3,0.2,0.000356972,,0.000356972,0.000237981,0.000317308,6.86995E-05,0.000249,0.000386
7/28/2013,28,Upper,0.2,0.2,0.2,,0.000237981,0.000237981,0.000237981,,0.000237981,3.31968E-20,0.000238,0.000238
7/30/2013,30,Upper,,0.2,,0.3,,0.000237981,,0.000356972,0.000297477,8.41393E-05,0.000213,0.000382
7/31/2013,31,Upper,0.2,0.3,0.4,0.3,0.000237981,0.000356972,0.000475963,0.000356972,0.000356972,9.71557E-05,0.000260,0.000454
7/24/2013,24,Mid Upper,0.3,0.5,0.2,0.3,0.000356972,0.000594953,0.000237981,0.000356972,0.00038672,0.000149727,0.000237,0.000536
7/26/2013,26,Mid Upper,0.3,0.4,0.2,0.2,0.000356972,0.000475963,0.000237981,0.000237981,0.000327224,0.000113925,0.000213,0.000441
7/28/2013,28,Mid Upper,0.3,0.3,0.3,0.2,0.000356972,0.000356972,0.000356972,0.000237981,0.000327224,5.94955E-05,0.000268,0.000387
7/30/2013,30,Mid Upper,,0.2,0.3,0.3,,0.000237981,0.000356972,0.000356972,0.000317308,6.86995E-05,0.000249,0.000386
7/31/2013,31,Mid Upper,0.2,0.3,0.2,0.4,0.000237981,0.000356972,0.000237981,0.000475963,0.000327224,0.000113925,0.000213,0.000441
7/24/2013,24,Mid Lower,0.4,0.3,0.6,0.3,0.000475963,0.000356972,0.000713944,0.000356972,0.000475963,0.000168278,0.000308,0.000644
7/26/2013,26,Mid Lower,0.3,0.3,0.5,0.4,0.000356972,0.000356972,0.000594953,0.000475963,0.000446215,0.000113925,0.000332,0.000560
7/28/2013,28,Mid Lower,0.3,0.3,0.4,0.3,0.000356972,0.000356972,0.000475963,0.000356972,0.00038672,5.94955E-05,0.000327,0.000446
7/30/2013,30,Mid Lower,0.2,0.2,,0.2,0.000237981,0.000237981,,0.000237981,0.000237981,3.31968E-20,0.000238,0.000238
7/31/2013,31,Mid Lower,0.3,0.2,0.3,0.3,0.000356972,0.000237981,0.000356972,0.000356972,0.000327224,5.94955E-05,0.000268,0.000387
7/24/2013,24,Lower,0.3,0.4,0.3,0.5,0.000356972,0.000475963,0.000356972,0.000594953,0.000446215,0.000113925,0.000332,0.000560
7/26/2013,26,Lower,0.6,0.4,0.3,0.5,0.000713944,0.000475963,0.000356972,0.000594953,0.000535458,0.000153616,0.000382,0.000689
7/28/2013,28,Lower,0.3,0.3,0.4,0.3,0.000356972,0.000356972,0.000475963,0.000356972,0.00038672,5.94955E-05,0.000327,0.000446
7/30/2013,30,Lower,0.2,0.3,0.3,0.3,0.000237981,0.000356972,0.000356972,0.000356972,0.000327224,5.94955E-05,0.000268,0.000387
7/31/2013,31,Lower,0.3,0.3,,0.4,0.000356972,0.000356972,,0.000475963,0.000396636,6.86995E-05,0.000328,0.000465
