I_Upper,I_MidUpper,I_MidLower,I_Lower,E_Upper,E_MidUpper,E_MidLower,E_Lower,GR_Upper,GR_MidUpper,GR_MidLower,GR_Lower
0.0060,0.0050,0.0034,0.0040,0.0128,0.0163,0.0143,0.0226,0.15153714,0.236345439,0.287296821,0.346331109
0.0021,0.0072,0.0037,0.0058,0.0120,0.0211,0.0187,0.0276,0.348593861,0.215038403,0.324038141,0.311991571
0.0052,0.0050,0.0095,0.0027,0.0062,0.0182,0.0206,0.0179,0.035178133,0.258396736,0.154799855,0.378309788
0.0059,0.0046,0.0035,0.0054,0.0145,0.0147,0.0155,0.0218,0.17983926,0.232358238,0.297615411,0.279102203
0.0094,0.0049,0.0040,0.0052,0.0197,0.0279,0.0166,0.0295,0.147981789,0.347878297,0.284621667,0.347146328
0.0030,0.0050,0.0034,0.0015,0.0268,0.0268,0.0289,0.0323,0.43795792,0.335792795,0.428013233,0.613920424
0.0029,0.0037,0.0048,0.0040,0.0262,0.0151,0.0285,0.0529,0.440209735,0.281272385,0.356257634,0.516421796
0.0032,0.0012,0.0044,0.0044,0.0268,0.0281,0.0273,0.0279,0.425050216,0.630689604,0.365056432,0.36940443
0.0059,0.0044,0.0040,0.0065,0.0402,0.0245,0.0433,0.0288,0.383782929,0.343413715,0.476371655,0.297714642
,0.0025,0.0099,0.0048,0.0492,0.3543,0.0309,0.0264,0,0.990770656,0.227644285,0.340949618
0.0052,0.0014,0.0063,0.0049,0.0489,0.0351,0.0535,0.0321,0.448223754,0.644345779,0.427826404,0.375924165
0.0016,0.0038,0.0026,0.0015,0.0690,0.0368,0.0410,0.0345,0.752820575,0.454099356,0.551612124,0.627098843
0.0059,0.0023,0.0044,0.0055,0.0225,0.0436,0.0255,0.0269,0.267712592,0.588429605,0.351414782,0.317475639
0.0026,0.0032,0.0013,,0.0332,0.0481,0.0336,0.0266,0.509407686,0.542026273,0.650432361,0
0.0049,0.0023,0.0023,0.0025,0.0358,0.0584,0.0323,0.0257,0.397742538,0.646881353,0.528431621,0.466040052
0.0037,0.0013,0.0047,0.0025,0.0398,0.0317,0.0314,0.0327,0.475106819,0.638790483,0.379849077,0.514216869
