W1.Upper,W1.MidUpper,W1.MidLower,W1.Lower,W2.Upper,W2.MidUpper,W2.MidLower,W2.Lower
,0.119791993,0.107408293,0.163261893,0.15153714,0.236345439,0.287296821,0.346331109
0.11071906,0.084056039,0.009617237,0.083418629,0.348593861,0.215038403,0.324038141,0.311991571
0.104708879,0.018643626,0.038155653,0.114468468,0.035178133,0.258396736,0.154799855,0.378309788
0.124637718,0.01351163,-0.015326645,0.275104453,0.17983926,0.232358238,0.297615411,0.279102203
,0.161605491,,0.115284581,0.147981789,0.347878297,0.284621667,0.347146328
0.141829504,0.071701625,,0.092792263,0.43795792,0.335792795,0.428013233,0.613920424
0.111438309,-0.006584957,0.097482637,-0.040719791,0.440209735,0.281272385,0.356257634,0.516421796
0.155943039,0.020219223,0.136996774,0.022108375,0.425050216,0.630689604,0.365056432,0.36940443
0.099169834,0.112967546,0.087247353,0.06155665,0.383782929,0.343413715,0.476371655,0.297714642
-0.052472853,0.105142847,,0.07837717,,0.990770656,0.227644285,0.340949618
-0.031812939,-0.010465164,-0.030125165,0.05477775,0.448223754,0.644345779,0.427826404,0.375924165
0.073325055,0.170013589,0.045276309,,0.752820575,0.454099356,0.551612124,0.627098843
0.007805869,0.114017418,0.097495652,0.021504069,0.267712592,0.588429605,0.351414782,0.317475639
0.063087791,0.115963699,,0.10573955,0.509407686,0.542026273,0.650432361,
-0.024585368,0.012124924,0.186011386,0.119850219,0.397742538,0.646881353,0.528431621,0.466040052
0.119634503,0.020599848,0.11561557,-0.061694568,0.475106819,0.638790483,0.379849077,0.514216869
